session_datetime,task_variant,task_name,metric,value
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB2,362.569343566895
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,shotsTotal,201.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtTotal,351.665020601249
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accTotal,80.5970154
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,killTotal,162.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB3,357.488335132599
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,killsPerSec,2.703917
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,score,48527.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB6,100.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB0,383.960655212402
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB7,100.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,targetsTotal,165.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB5,100.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB1,85.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB4,241.784912109375
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB5,245.245956420898
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB6,181.542991638184
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB7,275.155924479167
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,rtB1,330.590551757813
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB2,77.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB3,82.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB4,100.0
2022-07-02 19:07:36,ConnorBallGridshotUltimate,connorballgridshot,accB0,75.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,rtTotal,369.092959038117
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,score,47494.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,accB3,68.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,rtB0,322.143417782254
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,accB4,100.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,rtB1,358.549361334907
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,killsPerSec,2.653931
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,shotsTotal,195.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,killTotal,159.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,accTotal,81.53846
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,accB7,100.0
2022-07-02 19:09:37,ConnorBallGridshotUltimate,connorballgridshot,rtB7,318.682047526042
