createDate,taskName,mode,weaponName,map,version,score,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
08/03/2026 22:23:48,gridshot,10,9mm,0,v1.39.4,49576,86.55914,86,90,90,80,100,100,0,100,366.82732225501,378.998351427974,341.55840474909,358.967809041341,396.711652047294,271.802917480469,364.267211914063,0,351.543904622396,164,186,2.68749928,161,
08/03/2026 01:42:17,gridshot,10,9mm,0,v1.39.4,50175,92.94118,94,91,100,88,0,0,0,100,373.043419127252,371.147557983398,369.948978547127,351.892192840576,395.229053586028,0,0,0,286.62109375,161,170,2.63754225,158,
08/03/2026 01:30:20,gridshot,10,9mm,0,v1.39.4,54020,85.29411,79,92,88,82,100,100,86,75,336.112429651721,345.772176642167,311.882866524361,338.591704450335,351.646194118924,288.274462890625,310.517417907715,335.29123433431,404.415761311849,177,204,2.90444541,174,
08/03/2026 01:04:18,gridshot,10,9mm,0,v1.39.4,58433,90.0990143,91,94,90,83,100,100,100,100,323.584797031277,324.063336354382,304.128197756681,334.178069632394,351.724786376953,266.386728922526,266.261169433594,252.707280476888,280.2421875,185,202,3.038217,182,
08/03/2026 00:52:15,gridshot,10,9mm,0,v1.39.4,53973,89.0625,93,87,85,92,100,100,80,83,345.948286803842,333.542587280274,342.859760935714,353.515394731001,350.235287406228,336.932189941406,306.232765197754,432.017440795898,357.513403320312,174,192,2.8545444,171,
08/03/2026 00:37:52,gridshot,10,9mm,0,v1.39.4,42802,397.205965750558,365.433727633568,457.354024251302,446.90320876549,437.970733642578,427.269424438477,343.156188964844,469.171942138672,90,94,77,83,100,86,100,71,414.207153853836,85.62874,143,167,2.38715935,146,
04/08/2025 05:20:20,gridshot,10,9mm,0,v1.39.4,56172,349.948056343274,282.913987855653,344.651214971775,318.733949207124,382.075216674805,302.23680305481,360.660241699219,397.496709187826,80,100,80,84,71,89,71,75,326.375977742738,84.18605,181,215,3.021453,184,
04/08/2025 05:19:05,gridshot,10,9mm,0,v1.39.4,41717,397.202983093262,415.354546683175,391.516906738281,452.963897160121,0,310.386581420898,281.100840250651,284.759490966797,82,76,82,68,0,100,75,100,405.645157800962,77.65958,146,188,2.437254,149,
