createDate,taskName,mode,weaponName,map,version,score,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
08/03/2026 01:36:25,spidershot180,10,9mm,0,v1.39.4,38676,90.32258,100,80,83,100,100,83,88,82,1046.46685095001,0,980.599548339844,1047.59539794922,474.947967529297,635.236755371094,971.278967963325,1233.34863003817,743.973103841146,29,62,0.9348381,56,
08/03/2026 00:58:17,spidershot180,10,9mm,0,v1.39.4,35921,83.07693,75,100,71,83,100,100,75,72,1021.73524580331,467.828536987305,490.662109375,1152.05708821615,707.929321289063,612.917060852051,1237.31366333008,946.268115997315,0,29,65,0.9014102,54,
04/08/2025 05:26:28,spidershot180,10,9mm,0,v1.39.4,33232,0,780.346303304036,1413.44061279297,708.698852539063,708.807220458984,970.670010215358,1225.60867182414,841.662017822266,100,33,60,57,88,83,88,79,1057.62354769026,78.46154,51,65,0.85133934,28,
07/09/2022 20:40:05,spidershot180,10,9mm,0,v1.39.4,31374,754.912734985352,559.976586914063,1583.96848144531,0,632.325317382813,1481.34178466797,966.210131835938,839.066650390625,78,86,100,100,89,100,75,80,1163.34815530216,85.71429,48,56,0.8012448,26,
07/04/2022 20:31:17,spidershot180,10,9mm,0,v1.39.4,33527,764.143310546875,1505.89866129557,846.222198486328,686.164123535156,860.967610677083,1270.48540878296,1200.44026453355,655.341522216797,75,100,80,83,89,88,100,93,1162.03075334138,89.47369,51,57,0.851334035,26,
07/02/2022 22:11:11,spidershot180,10,9mm,0,v1.39.4,37696,0,1075.66054916382,1062.23912963867,589.957672119141,750.438232421875,1180.0139465332,1142.19318305122,1385.35632324219,100,100,86,88,91,100,100,93,1078.91854664196,93.10345,54,58,0.901387334,28,
