createDate,taskName,mode,weaponName,map,version,score,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
08/03/2026 01:37:35,sixshot,10,9mm,0,v1.39.4,58435,91.3580246,86,89,89,100,100,0,0,0,802.113944182525,883.294708251953,836.220470428467,809.021832634421,724.454458618164,862.436157226563,0,0,0,80,81,1.23531187,74,
08/03/2026 00:59:29,sixshot,10,9mm,0,v1.39.4,57554,96,96,100,100,91,0,0,0,0,814.251189973619,808.88966966712,812.209724934896,829.245956420898,842.032897949219,0,0,0,0,78,75,1.20193911,72,
04/08/2025 05:27:48,sixshot,10,9mm,0,v1.39.4,47556,884.741059955798,877.677085876465,946.589044744318,892.101345486111,887.791748046875,0,891.101928710938,0,83,80,69,75,100,0,100,0,885.05663766434,77.9069748,67,86,1.11845362,73,
