createDate,taskName,mode,weaponName,map,version,score,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
08/03/2026 01:41:08,multishot,10,9mm,0,v1.39.4,50864,88.2353,73,93,71,92,100,87,93,82,1599.37800525484,1529.05350603376,1993.57208251953,1554.2678367978,1519.87803593388,1442.79981994629,1467.83012695313,1106.32574462891,2231.13403320313,150,119,1.75278926,105,
08/03/2026 01:03:07,multishot,10,9mm,0,v1.39.4,57266,85.71429,75,88,95,94,80,95,73,82,1570.04299316406,1435.63034605369,1574.44663414588,1624.66504923503,1693.16135529549,0,0,0,0,155,140,2.00319767,120,
04/08/2025 05:32:47,multishot,10,9mm,0,v1.39.4,59378,1303.45705014183,1411.45961434501,1657.63873726981,1302.88621303013,0,0,0,2087.96960449219,78,81,76,79,88,71,88,80,1421.89668782552,80.12422,129,161,2.15335035,160,
