createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
01/04/2025 22:12:46,spidershot,14,9mm,0,v1.39.4,31260,733.846028645833,763.528244018555,758.22499778054,771.772237141927,824.735984802246,884.528381347656,925.229625355114,826.76566859654,100,86,83,92,100,71,67,67,813.133732625883,80.48781,66,82,1.10174346,74,
01/04/2025 22:11:31,spidershot,14,9mm,0,v1.39.4,30949,725.909484863281,668.674580165318,907.35506439209,840.455230712891,901.057739257813,840.391784667969,910.909644232856,852.000200059679,100,100,75,82,40,100,79,84,846.421108790806,81.48148,66,81,1.1017344,70,
11/25/2022 23:47:03,spidershot,14,9mm,0,v1.39.4,31621,842.041392008464,668.30657523019,811.003836495536,847.761160714286,836.468023126776,895.408091227214,778.483116736779,788.808439366958,75,71,89,75,78,77,92,76,803.315812806826,80,68,85,1.13512635,74,
09/10/2022 23:43:05,spidershot,14,9mm,0,v1.39.4,33207,786.832678222656,715.509643554688,790.513305664063,762.751114908854,788.203308105469,862.852383083767,927.538810729981,927.764106750488,100,71,82,89,100,89,70,79,818.142454382491,83.52941,71,85,1.1852175,74,
09/07/2022 19:31:20,spidershot,14,9mm,0,v1.39.4,37809,756.014526367188,679.025573730469,772.958215332031,774.968853759766,800.495727539063,816.397844587054,847.842325846354,816.947611490885,100,100,85,75,100,100,90,94,783.801259091026,92.40506,73,79,1.21858692,76,
08/20/2022 22:29:21,spidershot,14,9mm,0,v1.39.4,37282,720.293281555176,619.958508491516,752.515362548828,784.870836046007,842.727111816406,806.513671875,842.695702185998,882.621752929688,100,100,87,89,89,100,100,83,792.010941263835,91.25,73,80,1.21859527,76,
08/20/2022 22:28:11,spidershot,14,9mm,0,v1.39.4,34968,843.133422851563,679.142855834961,858.450393676758,690.266805013021,870.81601969401,896.973045349121,829.141967773437,837.545617675781,100,80,75,100,80,100,89,94,819.831551120706,87.65432,71,81,1.18520069,74,
08/20/2022 22:27:03,spidershot,14,9mm,0,v1.39.4,40312,712.706917898996,653.49658203125,800.512654622396,726.535247802734,805.640502929688,803.024526742788,796.229553222656,821.985992431641,100,100,100,100,93,93,85,90,767.004385923728,93.9024353,77,82,1.28540134,78,
