createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
01/04/2025 22:15:12,reflexshot,14,9mm,0,v1.39.4,35498,632.492950439453,617.107578277588,674.593017578125,620.305389404297,688.929077148438,647.42463684082,670.906317138672,671.476361083984,56,88,33,100,50,71,64,75,656.472502644857,66.1290359,41,62,0.6844278,60,
01/04/2025 22:13:57,reflexshot,14,9mm,0,v1.39.4,27881,632.486534118652,687.259056091309,694.055338541667,645.677268981933,702.550732421875,729.049092610677,750.776702880859,695.155960083008,56,29,62,62,40,50,33,40,669.131107584635,52.8571434,37,70,0.6176356,60,
11/25/2022 23:48:12,reflexshot,14,9mm,0,v1.39.4,35078,703.179948286577,686.672797309028,673.820373535156,643.12336730957,691.595058865017,645.912854003906,711.098185221354,695.367417555589,77,80,62,100,44,75,0,55,685.95735168457,66.1290359,41,62,0.6843952,60,
09/10/2022 23:44:14,reflexshot,14,9mm,0,v1.39.4,37658,674.706199645996,643.621276855469,649.751243591309,672.632026672363,693.66805594308,641.981323242188,690.414611816406,699.716023763021,75,80,75,73,43,75,71,57,670.812345377605,68.25397,43,63,0.7178181,60,
09/07/2022 19:32:30,reflexshot,14,9mm,0,v1.39.4,41997,603.034973144531,694.027038574219,663.928796386719,633.515207926432,668.902877807617,0,710.148756239149,658.87592569987,78,50,83,71,72,0,80,60,658.990583292643,73.01588,46,63,0.7678865,60,
08/20/2022 22:31:38,reflexshot,14,9mm,0,v1.39.4,34450,695.8296436983,654.840675354004,708.358846028646,666.583984375,672.057861328125,685.950149536133,692.299377441406,713.050333658854,69,86,75,59,20,67,100,50,682.838287353516,64.0625,41,64,0.6844232,60,
08/20/2022 22:30:31,reflexshot,14,9mm,0,v1.39.4,38880,656.617030552455,575.627604893276,670.595530192057,690.354858398438,736.152069091797,678.865637207031,656.845715332031,699.987045288086,62,85,55,62,60,60,100,62,657.272762044271,68.75,44,64,0.7344868,60,
