createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
01/04/2025 22:07:52,strafetrack,10,9mm,0,v1.39.4,54916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2698.56435546875,46.76711,20,0,0.333866835,21,
01/04/2025 22:06:38,strafetrack,10,9mm,0,v1.39.4,57691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2813.46047828311,48.14197,21,0,0.350556016,22,
11/25/2022 23:44:37,strafetrack,10,9mm,0,v1.39.4,71301,338.084803771973,356.787649831464,356.420680454799,344.252180660472,311.897578648158,353.797339699485,613.134292602539,276.569377354213,0,0,0,0,0,0,0,0,2421.7192586263,54.8025246,24,0,0.40061447,25,
11/25/2022 23:43:32,strafetrack,10,9mm,0,v1.39.4,59221,338.084803771973,356.787649831464,356.420680454799,344.252180660472,311.897578648158,353.797339699485,613.134292602539,276.569377354213,0,0,0,0,0,0,0,0,2736.24771554129,48.95569,21,0,0.3505499,22,
09/10/2022 23:40:35,strafetrack,10,9mm,0,v1.39.4,69475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2490.41598002116,53.8583832,24,0,0.400643528,25,
09/10/2022 23:39:23,strafetrack,10,9mm,0,v1.39.4,62609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2606.08880615234,50.613224,22,0,0.36725527,23,
09/07/2022 19:29:00,strafetrack,10,9mm,0,v1.39.4,55264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2888.562890625,46.95461,20,0,0.333870679,21,
08/20/2022 22:23:29,strafetrack,10,9mm,0,v1.39.4,65894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2545.63040293818,52.17494,23,0,0.3839437,24,
08/20/2022 22:22:22,strafetrack,10,9mm,0,v1.39.4,49394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3084.49061343544,43.78978,19,0,0.317177445,20,
