createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
01/04/2025 22:17:29,motionshot,14,9mm,0,v1.39.4,35941,751.320627848307,783.593850708008,879.956468370226,753.593208312988,916.584357766544,810.577758789063,914.779565429688,884.607699307528,64,83,89,82,75,60,56,30,850.79947618757,65.21739,60,92,1.00157058,70,
01/04/2025 22:16:21,motionshot,14,9mm,0,v1.39.4,23673,964.015045166016,726.196817016602,847.168029785156,991.822977701823,1035.46112060547,985.8349609375,924.688701923077,944.421898735894,60,60,43,40,57,46,37,73,941.740423535544,49.4623642,46,93,0.767873466,64,
11/25/2022 23:49:25,motionshot,14,9mm,0,v1.39.4,37222,751.387858072917,749.146067301432,822.894818115234,701.359659830729,896.07373046875,850.901443481445,888.321953667535,886.291851043701,67,56,56,64,100,67,75,53,830.70947437555,65.59139,61,93,1.01827085,72,
09/10/2022 23:45:25,motionshot,14,9mm,0,v1.39.4,39622,779.258103590745,665.198952308068,726.781066894531,754.625343322754,830.417897542318,926.711352539063,938.080725097656,858.18852742513,58,65,88,71,82,88,53,46,793.195325724284,65.625,63,96,1.05168831,76,
09/07/2022 19:33:39,motionshot,14,9mm,0,v1.39.4,40720,798.677559407552,761.176971435547,716.499242609197,731.502667236328,985.144348144531,948.499664306641,853.633443196615,975.912612915039,89,64,83,50,62,64,75,73,818.724139905956,70.7865143,63,89,1.05163682,74,
08/20/2022 22:35:02,motionshot,14,9mm,0,v1.39.4,37088,792.61826171875,716.192077636719,714.837433815002,687.297258649554,913.768725585937,968.920455932617,796.810394287109,901.461359197443,70,52,100,78,89,56,57,56,801.062445666339,64.13044,59,92,0.984894,74,
08/20/2022 22:33:56,motionshot,14,9mm,0,v1.39.4,41990,736.919250488281,697.496337890625,726.263893127441,663.191205705915,898.292785644531,895.767384847005,905.913457697088,877.233450753348,62,69,80,86,64,86,62,82,809.147200074914,73.56322,64,87,1.06834877,74,
08/20/2022 22:32:51,motionshot,14,9mm,0,v1.39.4,30840,811.682599748884,745.455766531137,820.492791748047,815.613662719727,937.890403747559,914.723373413086,967.846394856771,930.551382882254,56,72,73,67,54,54,18,42,839.805476336412,55.6701,54,97,0.901448131,72,
