createDate,taskName,mode,weaponName,map,version,score,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,accTotal,killTotal,shotsTotal,killsPerSec,targetsTotal
11/24/2022 02:02:35,motiontrack,10,9mm,0,v1.39.4,28921,0,0,0,0,0,0,0,0,0,0,3400,12600,2080,2040,1200,1933,3418.09280063795,22.19047,40,23,0.502520561,23,
08/13/2022 21:03:44,motiontrack,10,9mm,0,v1.39.4,31471,0,0,0,0,0,0,0,0,10000,3400,0,0,3250,2300,1750,1750,3420.67487832774,23.1212711,42,22,0.533840656,22,
08/13/2022 21:02:37,motiontrack,10,9mm,0,v1.39.4,31021,0,0,0,0,0,0,0,0,0,0,0,0,5000,833,3400,1514,3418.59647993608,23.296154,41,22,0.523187339,22,
08/13/2022 21:01:13,motiontrack,10,9mm,0,v1.39.4,29977,0,0,0,0,0,0,0,0,0,13300,0,0,1420,760,5050,2550,3635.20841702548,21.8852482,42,23,0.524271667,22,
07/02/2022 19:20:16,motiontrack,10,9mm,0,v1.39.4,30803,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,0,0,6700,10000,2300,1943,786,6700,3262.06550465459,22.5391827,42,22,0,22,
07/02/2022 19:16:09,motiontrack,10,9mm,0,v1.39.4,34065,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,0,0,0,6700,3400,1325,1338,2300,3290.79894422448,24.265379,45,24,0,23,
07/02/2022 19:14:57,motiontrack,10,9mm,0,v1.39.4,33393,386.592683231129,332.524109734429,415.578988817003,363.585554122925,380.489501953125,488.854044596354,241.489054361979,274.686157226563,13300,0,3333,6700,3400,1200,1750,3400,374.175233683009,24.1275387,44,23,0,23,
