createDate,taskName,mode,weaponName,map,version,score,accTotal,accB0,accB1,accB2,accB3,accB4,accB5,accB6,accB7,rtTotal,rtB0,rtB1,rtB2,rtB3,rtB4,rtB5,rtB6,rtB7,targetsTotal,shotsTotal,killsPerSec,killTotal
08/03/2026 01:35:15,gridshot,11,9mm,0,v1.39.4,47742,84.86487,79,87,89,87,0,0,0,0,374.559908532793,386.260316975911,370.853185017904,347.142846309777,393.906247261243,0,0,0,0,160,185,2.62077546,157,
08/03/2026 00:57:02,gridshot,11,9mm,0,v1.39.4,44657,80.42328,87,75,84,76,0,100,0,0,388.532811616596,373.499445597331,417.755964067247,364.598303794861,409.18362220558,0,253.312683105469,0,0,155,189,2.53737116,152,
04/08/2025 05:25:17,gridshot,11,9mm,0,v1.39.4,44711,404.711936147589,335.471893759335,350.339452241597,438.065044314362,0,0,0,0,76,89,84,68,0,0,0,0,383.624386081448,78.17259,154,197,2.57068682,157,
